2026-05-08 16:11:01,827 [INFO] Epoch 42 | Reward=26.54 | Success=96.25% | DepDelay=12.58ms | Fail=3/80 | TopFail=[('candidate_infeasible', 2), ('no_candidates', 1)]
2026-05-08 16:16:05,163 [INFO] Epoch 43 | Reward=26.38 | Success=97.50% | DepDelay=23.98ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 16:25:22,691 [INFO] Epoch 44 | Reward=26.50 | Success=96.25% | DepDelay=14.10ms | Fail=3/80 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 16:33:13,952 [INFO] Epoch 45 | Reward=27.23 | Success=100.00% | DepDelay=18.18ms | Fail=0/80 | TopFail=[]
2026-05-08 16:41:37,365 [INFO] Epoch 46 | Reward=26.39 | Success=96.25% | DepDelay=16.39ms | Fail=3/80 | TopFail=[('candidate_infeasible', 2), ('no_candidates', 1)]
2026-05-08 16:47:45,352 [INFO] Epoch 47 | Reward=26.80 | Success=98.75% | DepDelay=20.95ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 16:57:18,340 [INFO] Epoch 48 | Reward=27.08 | Success=98.75% | DepDelay=13.62ms | Fail=1/80 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 17:07:15,059 [INFO] Epoch 49 | Reward=26.84 | Success=97.50% | DepDelay=12.71ms | Fail=2/80 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 17:13:17,910 [INFO] Epoch 50 | Reward=26.98 | Success=100.00% | DepDelay=23.85ms | Fail=0/80 | TopFail=[]
2026-05-08 18:04:39,752 [INFO] Epoch 1 | Reward=26.34 | Success=100.00% | DepDelay=39.81ms | Fail=0/40 | TopFail=[]
2026-05-08 18:09:21,484 [INFO] Epoch 2 | Reward=25.90 | Success=97.50% | DepDelay=38.03ms | Fail=1/40 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 18:12:52,555 [INFO] Epoch 3 | Reward=25.99 | Success=97.50% | DepDelay=34.25ms | Fail=1/40 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 18:17:29,897 [INFO] Epoch 4 | Reward=26.47 | Success=100.00% | DepDelay=40.51ms | Fail=0/40 | TopFail=[]
2026-05-08 18:21:59,339 [INFO] Epoch 5 | Reward=25.74 | Success=97.50% | DepDelay=40.22ms | Fail=1/40 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 18:26:24,671 [INFO] Epoch 6 | Reward=26.46 | Success=100.00% | DepDelay=38.63ms | Fail=0/40 | TopFail=[]
2026-05-08 18:41:15,539 [INFO] Epoch 7 | Reward=26.48 | Success=95.62% | DepDelay=11.02ms | Fail=7/160 | TopFail=[('candidate_infeasible', 6), ('no_candidates', 1)]
2026-05-08 18:55:28,263 [INFO] Epoch 8 | Reward=26.45 | Success=96.25% | DepDelay=15.37ms | Fail=6/160 | TopFail=[('candidate_infeasible', 5), ('no_candidates', 1)]
2026-05-08 19:06:23,182 [INFO] Epoch 9 | Reward=26.53 | Success=98.12% | DepDelay=25.12ms | Fail=3/160 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 19:15:10,369 [INFO] Epoch 10 | Reward=26.30 | Success=98.12% | DepDelay=30.46ms | Fail=3/160 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 19:29:24,409 [INFO] Epoch 11 | Reward=26.58 | Success=96.88% | DepDelay=16.02ms | Fail=5/160 | TopFail=[('candidate_infeasible', 5)]
2026-05-08 19:45:32,128 [INFO] Epoch 12 | Reward=26.79 | Success=96.88% | DepDelay=10.93ms | Fail=5/160 | TopFail=[('candidate_infeasible', 3), ('no_candidates', 2)]
